gender,emphasishealth,hoursofsleep,strongphysical,strongmind,controlhabits,tobacconicotineuser,percentusetobacco,ecigsvape,cigaretteproblem,vapeecigproblem
Female,4,SevenOrLess,23,70,70,No,32,72,No,Yes
Female,8,EightPlus,69,91,100,No,58,55,Yes,No
Female,4,EightPlus,32,76,85,Yes,21,64,No,No
Female,4,SevenOrLess,29,87,95,Yes,42,83,No,No
Female,6,SevenOrLess,27,68,99,No,35,44,No,Yes
Female,8,SevenOrLess,59,96,81,No,34,68,No,Yes
Female,6,SevenOrLess,91,100,47,Yes,72,78,No,No
Male,4,EightPlus,100,100,37,No,21,16,No,Yes
Female,7,SevenOrLess,74,100,58,No,80,84,Yes,Yes
Female,10,EightPlus,69,68,41,No,57,83,Yes,Yes
Male,9,SevenOrLess,79,98,88,No,33,48,No,No
Female,7,EightPlus,59,67,75,No,67,79,No,No
Male,7,SevenOrLess,63,69,78,No,65,66,No,Yes
Male,7,EightPlus,68,63,67,No,35,36,No,No
Male,8,EightPlus,75,97,94,No,22,20,No,No
Male,8,SevenOrLess,83,81,78,No,63,66,Yes,Yes
Female,8,SevenOrLess,70,80,26,No,40,71,Yes,No
Female,5,SevenOrLess,71,88,50,Yes,20,62,No,No
Female,8,SevenOrLess,48,63,59,No,51,75,No,No
Male,10,SevenOrLess,99,100,25,No,27,52,No,Yes
Male,9,SevenOrLess,78,100,100,Yes,43,30,Yes,Yes
Female,7,SevenOrLess,73,73,78,No,49,38,No,No
Female,6,SevenOrLess,67,75,54,No,49,68,No,No
Male,8,SevenOrLess,71,99,36,No,31,32,No,Yes
Female,9,EightPlus,83,99,41,No,24,26,No,Yes
Female,7,SevenOrLess,71,72,74,No,33,19,No,No
Female,9,SevenOrLess,77,71,70,No,60,44,No,Yes
Male,8,SevenOrLess,68,64,69,No,21,29,No,No
Female,7,SevenOrLess,70,87,84,Yes,32,42,No,No
Male,9,SevenOrLess,85,74,77,No,67,68,No,No
Female,5,SevenOrLess,74,75,16,No,13,27,Yes,Yes
Female,7,EightPlus,75,99,73,Yes,18,46,No,No
Female,9,SevenOrLess,92,87,86,No,14,13,No,Yes
Female,8,SevenOrLess,62,74,100,No,24,35,Yes,Yes
Male,8,SevenOrLess,67,64,37,No,77,76,Yes,Yes
Female,6,SevenOrLess,85,65,95,No,49,63,No,No
Female,4,EightPlus,67,73,27,No,7,23,No,No
Female,8,SevenOrLess,53,81,41,No,19,51,No,Yes
Male,10,SevenOrLess,92,98,72,Yes,19,17,No,No
Female,7,SevenOrLess,45,92,70,No,34,65,No,Yes
Female,10,EightPlus,100,100,100,No,57,57,Yes,Yes
Female,10,SevenOrLess,76,97,43,No,16,37,No,No
Female,8,EightPlus,81,81,100,No,30,28,No,No
Female,5,SevenOrLess,62,88,82,No,18,16,Yes,Yes
Male,7,SevenOrLess,59,100,26,No,18,12,Yes,Yes
Female,6,EightPlus,67,86,79,Yes,47,91,No,Yes
Female,4,SevenOrLess,78,88,60,No,87,75,No,No
Male,9,SevenOrLess,76,95,53,No,62,81,No,No
Female,8,SevenOrLess,49,96,96,No,51,68,No,Yes
Female,8,EightPlus,74,71,53,No,33,21,Yes,Yes
Female,9,EightPlus,85,85,64,No,18,36,No,Yes
Female,7,SevenOrLess,74,75,58,No,50,57,No,No
Male,9,SevenOrLess,100,100,100,No,82,83,No,Yes
Male,8,EightPlus,100,100,100,No,84,75,Yes,Yes
Male,8,SevenOrLess,73,81,77,No,36,71,No,Yes
Male,9,SevenOrLess,100,100,100,No,49,50,No,No
Male,8,SevenOrLess,75,73,100,No,30,66,No,No
Male,8,EightPlus,85,86,56,No,51,51,No,No
Male,8,EightPlus,100,100,100,No,75,86,No,Yes
Male,7,EightPlus,61,100,55,No,44,32,No,No
Male,8,SevenOrLess,76,100,71,No,26,41,Yes,Yes
Female,3,EightPlus,50,70,91,No,46,27,No,No
Female,7,SevenOrLess,69,81,62,No,41,58,No,Yes
Female,8,SevenOrLess,68,70,72,No,69,78,No,No
Female,6,SevenOrLess,76,91,89,No,28,32,Yes,Yes
Female,10,SevenOrLess,88,96,33,No,75,78,Yes,Yes
Male,10,SevenOrLess,100,69,25,No,72,82,No,No
Male,8,SevenOrLess,64,98,82,No,14,64,Yes,No
Female,1,EightPlus,98,100,70,No,24,22,No,Yes
Female,5,SevenOrLess,72,66,28,No,68,87,Yes,Yes
Female,8,SevenOrLess,72,98,77,No,73,53,No,No
Female,6,SevenOrLess,70,100,100,Yes,69,85,No,No
Female,6,SevenOrLess,65,62,71,No,68,69,No,Yes
Male,10,SevenOrLess,76,85,77,No,78,90,No,Yes
Female,7,EightPlus,71,92,74,No,67,93,No,Yes
Female,5,SevenOrLess,100,100,100,Yes,52,50,No,No
Female,3,EightPlus,91,90,80,No,78,83,No,Yes
Male,6,SevenOrLess,60,100,61,No,34,26,No,No
Male,5,SevenOrLess,66,100,66,No,67,86,No,Yes
Male,9,EightPlus,76,90,76,No,63,63,Yes,Yes
Male,8,EightPlus,68,87,42,No,28,80,No,No
Male,8,EightPlus,70,72,100,No,43,63,Yes,Yes
Female,9,SevenOrLess,99,100,100,No,43,65,No,Yes
Male,8,SevenOrLess,94,94,76,No,62,87,Yes,Yes
Female,8,EightPlus,77,100,30,No,88,78,Yes,Yes
Female,9,SevenOrLess,86,100,89,No,72,68,No,Yes
Female,8,EightPlus,87,92,71,No,24,83,No,Yes
Male,9,SevenOrLess,91,73,93,No,51,70,Yes,Yes
Female,8,EightPlus,42,79,66,No,35,43,Yes,Yes
Female,8,SevenOrLess,68,87,61,No,26,71,No,Yes
Male,6,SevenOrLess,75,67,52,No,13,36,No,Yes
Male,7,SevenOrLess,80,40,74,No,79,91,Yes,Yes
Male,7,EightPlus,100,73,78,Yes,52,50,No,No
Female,8,SevenOrLess,100,100,82,No,65,82,No,Yes
Female,7,SevenOrLess,78,97,95,No,91,97,No,No
Male,8,SevenOrLess,100,100,100,Yes,73,75,No,Yes
Female,8,SevenOrLess,100,99,83,No,43,64,No,No
Male,6,SevenOrLess,100,100,100,Yes,63,72,No,No
Female,5,SevenOrLess,65,79,100,Yes,17,36,No,No
