GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
16000US0636448,"Indio city, California",City,42.5,69.6,2.86,74774,5.4,16.8,11.2,11.3,5.8,54.8,28.2,35.8,5.7,93.9,0,Lowest,Lowest
16000US0636546,"Inglewood city, California",City,36.8,79.9,3.06,61780,12.7,20.9,18.8,13.9,10.8,36.7,42.5,49.5,4.2,88.7,0,Medium_High,Highest
16000US0636770,"Irvine city, California",City,33,70,2.68,111574,2.4,7.3,15.1,13.8,5.4,47.7,36.6,45.4,2.7,95.6,0,Lowest,Lowest
16000US0637692,"Jurupa Valley city, California",City,31.8,86.4,4.42,76090,10.1,16.4,7,12.1,15.7,56.8,35.5,42.4,3.3,90.6,0,Medium_Low,Highest
16000US0639248,"Laguna Niguel city, California",City,44.1,66.2,2.67,120405,2.9,1,3.2,3.9,7.3,57.6,22.7,29.7,4.1,96.4,0,Lowest,Medium
16000US0639486,"Lake Elsinore city, California",City,31.3,82.8,3.72,77090,9.7,8.9,5.3,8.1,7.9,59.4,33.5,39.6,4.6,90.5,0,Medium_Low,Medium
16000US0639496,"Lake Forest city, California",City,39.9,71,2.99,118888,1.2,8.9,4,6.5,4,65.5,24.1,30.5,4.5,96.1,0,Lowest,Lowest
16000US0639892,"Lakewood city, California",City,38.1,83,3.14,97508,5.9,9.2,9.6,7,3.3,57.6,34.1,33.7,5.9,90.2,0,Lowest,Lowest
16000US0640130,"Lancaster city, California",City,33.5,87.1,3.06,56672,10,20.3,22.3,16.5,3.4,45.9,44.1,48.1,5.9,84.2,0,Medium_Low,Lowest
16000US0641992,"Livermore city, California",City,39.6,76.2,2.94,138225,1.6,8,5.7,4.4,2.8,64.4,25.7,28.6,5.5,95,0,Lowest,Lowest
16000US0642202,"Lodi city, California",City,35.1,85.4,2.94,67484,8.6,21.2,16.8,14.1,6,53.3,26.9,37.1,4.8,92.2,0,Medium_Low,Lowest
16000US0643000,"Long Beach city, California",City,36,79.3,2.74,67804,10.4,19.7,12.9,14.7,10.1,38.8,41.9,47.1,4.8,88.5,0,Medium_High,Medium
16000US0644000,"Los Angeles city, California",City,35.9,73.9,2.78,67418,10.1,24.5,16.3,16.7,11.3,38.5,43.2,49.6,2.5,87.7,0,Medium_Low,Highest
16000US0644574,"Lynwood city, California",City,30.6,91.1,4.39,53966,18.8,17.9,13.5,14.4,19.9,56.2,45.9,46.8,1.5,66.5,0,Highest,Highest
16000US0645022,"Madera city, California",City,27.8,91.9,3.95,50364,28.8,32.9,16.3,21.9,12.2,61.6,38,37.9,3.5,88.3,0,Highest,Highest
16000US0645484,"Manteca city, California",City,38.7,85.3,3.16,82265,5.3,13.9,9.4,11.2,5.2,62.4,31.2,31.2,6.6,90,0,Lowest,Lowest
16000US0646842,"Menifee city, California",City,37.7,78.5,3.22,77033,5.2,10.4,10.2,9.3,5.2,56.2,24.7,34.8,11.5,91.6,0,Lowest,Lowest
16000US0646898,"Merced city, California",City,30.1,86.4,3.3,50309,24.7,30.9,14.6,24.3,10.1,40.6,37,48.2,4,93.2,0,Highest,Medium
16000US0647766,"Milpitas city, California",City,37.7,81.8,3.13,140124,2.3,1.4,5.5,2.4,2.9,62.5,26.8,37.3,3.1,96.3,0,Lowest,Lowest
16000US0648256,"Mission Viejo city, California",City,47.9,65.6,2.73,119798,2.5,1.7,8,4.3,5,64.3,21.3,26.9,5.6,96.5,0,Lowest,Lowest
16000US0648354,"Modesto city, California",City,35.8,84.1,2.98,62067,12.1,13.8,11,12.2,7,45.9,31.8,39.7,5.2,91.6,0,Medium_High,Medium
16000US0649270,"Moreno Valley city, California",City,31,85,4.07,65449,11.6,15.6,12.1,12,11.3,52.2,39.6,47.9,4.7,91.9,0,Medium_High,Highest
16000US0649670,"Mountain View city, California",City,34.9,63.4,2.32,147915,2.3,0,9.1,4.5,4,41.7,38.5,47.5,1.9,92.1,0,Lowest,Lowest
16000US0650076,"Murrieta city, California",City,33.1,75,3.42,100080,4.8,7.7,5.1,6.3,6.5,59.5,32.2,29.9,8.8,95.7,0,Lowest,Medium
16000US0650258,"Napa city, California",City,40.5,75.6,2.67,88310,2,6.5,8.5,6.1,7.3,48.8,29.7,38.4,5.4,89.8,0,Lowest,Medium
16000US0651182,"Newport Beach city, California",City,46.2,66.3,2.27,128294,1.6,8,5.5,6.4,3.3,45.3,24.9,39.3,5.9,97.3,0,Lowest,Lowest
16000US0652526,"Norwalk city, California",City,35.4,88,3.85,80513,9.3,5.1,12,7,10.8,51.5,38.2,44.9,3.3,92.7,0,Medium_Low,Highest
16000US0653000,"Oakland city, California",City,36.9,70.8,2.54,82018,8.9,17.7,18.2,13.9,6.5,36.3,43.5,46.1,3.5,83.9,0,Medium_Low,Medium
16000US0653322,"Oceanside city, California",City,37.5,65.3,2.9,77226,4,8.9,7.4,7.6,10.3,53.3,26.7,34.9,10.7,93.7,0,Lowest,Highest
16000US0653896,"Ontario city, California",City,32.1,88.1,3.69,75266,12.3,17.2,6.7,11.8,9.2,51.9,37.7,44.6,2.8,89.8,0,Medium_High,Medium
16000US0653980,"Orange city, California",City,36.6,80.2,3.01,95827,5.7,11.7,8.3,9.2,9.5,59.7,32.3,42.1,3.3,93.2,0,Lowest,Medium
16000US0654652,"Oxnard city, California",City,34.1,86.5,4.09,78981,10.6,20.6,6.4,11.7,17.2,55.2,36.3,46.6,3.8,84.2,0,Medium_High,Highest
16000US0655156,"Palmdale city, California",City,32,84.8,3.73,71774,17.4,19.3,14.3,13.5,6.9,55.3,40.2,44.3,4.1,89.3,0,Highest,Medium
16000US0655282,"Palo Alto city, California",City,41.3,59.6,2.57,160360,.3,2.3,5.1,3.8,1.9,56.8,27.4,27.6,3,95.8,0,Lowest,Lowest
16000US0656000,"Pasadena city, California",City,38.5,69.4,2.42,92053,4.1,7.5,14.8,11,8.3,41.7,35.8,41.2,2.5,90.2,0,Lowest,Medium
16000US0656700,"Perris city, California",City,30.7,89.3,4.49,70714,10,11.4,13.6,8.6,12.4,58.8,36.8,44.4,3.4,88.5,0,Medium_Low,Highest
16000US0657456,"Pittsburg city, California",City,35.6,83.7,3.39,82960,11.2,13.2,15.3,11.8,9.8,48,36.7,46.9,4.2,92.3,0,Medium_High,Medium
16000US0657792,"Pleasanton city, California",City,42.1,62,2.81,156063,1,5.3,3.7,4.8,2.3,69.8,18.3,24.3,3.4,96.8,0,Lowest,Lowest
16000US0658072,"Pomona city, California",City,34.3,88.9,3.62,67202,15.5,17.9,12.2,13,11.2,49.4,41.4,46.6,3,85.7,0,Highest,Highest
16000US0659444,"Rancho Cordova city, California",City,33.4,76.9,3,71655,12,19.7,11,14.7,4.6,45.8,31.4,31,7.5,93.1,0,Medium_High,Lowest
16000US0659451,"Rancho Cucamonga city, California",City,36.9,80.6,2.93,92773,4.2,5.7,8,7.5,4.8,52.4,31.8,37.2,4.8,91.9,0,Lowest,Lowest
16000US0659920,"Redding city, California",City,37.4,72.8,2.39,63165,10.2,12.5,9.5,12.2,8.7,41.6,28.3,39.3,9.6,84,0,Medium_High,Medium
16000US0659962,"Redlands city, California",City,39.6,73.5,2.63,72410,3.7,2.7,9.7,7.4,3.1,50,34.8,37.8,7.5,86.9,0,Lowest,Lowest
16000US0660018,"Redondo Beach city, California",City,38.7,64.5,2.53,109019,1.9,0,2.5,2.8,6.5,49.2,32.4,31.5,6,96.5,0,Lowest,Medium
16000US0660102,"Redwood City city, California",City,38.3,70,2.62,138913,3.7,8,5.5,7.3,5.7,48.8,31.8,37.2,3.2,90.4,0,Lowest,Lowest
16000US0660466,"Rialto city, California",City,29.8,88.9,4.16,70188,18.3,20.9,12.1,13.5,13,52.1,42.3,46.1,3.8,86.8,0,Highest,Highest
16000US0660620,"Richmond city, California",City,36.5,75,2.98,72130,4.2,19.8,11.3,13.4,10,45.2,37.5,38.8,3.3,90.3,0,Lowest,Medium
16000US0662000,"Riverside city, California",City,31.1,82.7,3.62,71967,10.8,12.5,10.9,11.5,9,49,39.8,48.5,4.4,91,0,Medium_High,Medium
16000US0662364,"Rocklin city, California",City,39.3,71.4,2.9,98514,2.3,5.4,7.1,4.9,4.1,62.3,19.6,32.3,6.4,96.5,0,Lowest,Lowest
16000US0662938,"Roseville city, California",City,40,74.7,2.65,101101,4.8,10.6,7.5,6.9,3.3,56.7,26.5,27.3,8,92.6,0,Lowest,Lowest
16000US0664000,"Sacramento city, California",City,34.8,79.4,2.63,69134,11.2,17.6,10.5,13.9,6.1,37.5,39.8,42.5,5.5,90.3,0,Medium_High,Lowest
16000US0664224,"Salinas city, California",City,30.3,89.8,3.86,69117,9.7,29.8,14.8,17.9,12.9,52.5,43.8,47.6,3,90.2,0,Medium_Low,Highest
16000US0665000,"San Bernardino city, California",City,31.1,86.9,3.39,49721,20.7,30.6,20,20.3,11.8,41.6,42,50.6,4.4,80.9,0,Highest,Highest
16000US0665042,"San Buenaventura (Ventura) city, California",City,40.1,76.3,2.64,84110,9.8,5.7,6.6,7.3,7.1,47.8,33,39,7.6,87.5,0,Medium_Low,Medium
16000US0665084,"San Clemente city, California",City,42.1,64.5,2.77,127650,2,1.3,2.5,4.2,2.5,62.7,20.1,30.7,4.8,96.6,0,Lowest,Lowest
16000US0666000,"San Diego city, California",City,35.4,63.2,2.71,85507,5.7,12.1,11.1,11,8,46.4,35.7,42.9,7,92.8,0,Lowest,Medium
16000US0667000,"San Francisco city, California",City,38.2,59.9,2.36,123859,5.5,7.3,15.2,9.5,3.8,34.9,43.4,51.5,2.7,89.7,0,Lowest,Lowest
16000US0668000,"San Jose city, California",City,37.4,77.8,3.07,115893,5,6.3,9.4,7.1,5.5,53.3,32.3,40.2,3,93,0,Lowest,Lowest
16000US0668084,"San Leandro city, California",City,41.1,74.6,2.79,95072,5.4,21.9,4.5,9.5,5.5,42.5,34.2,44.5,5,91.1,0,Lowest,Lowest
16000US0668196,"San Marcos city, California",City,37.3,67.4,3.1,80814,4.6,11,8.9,11.2,8.1,52.5,32.7,36.2,7.7,92.3,0,Lowest,Medium
16000US0668252,"San Mateo city, California",City,37.2,66.3,2.6,149312,2,5.4,7.8,6.5,5.4,48.3,31.2,37,2.6,93.5,0,Lowest,Lowest
16000US0668378,"San Ramon city, California",City,41.8,68.8,2.95,189185,.8,1.2,6.1,1.9,4,71.2,16.6,29.5,2.4,97.5,0,Lowest,Lowest
16000US0669000,"Santa Ana city, California",City,33.2,87.5,4.11,70084,8.1,18.6,11.2,12.6,12.6,56.8,39.1,46.4,2,84.4,0,Medium_Low,Highest
16000US0669070,"Santa Barbara city, California",City,37.6,67.1,2.33,73974,4.4,7.7,9.8,9.7,12.4,33.7,42.1,45.9,3.5,93.2,0,Lowest,Highest
16000US0669084,"Santa Clara city, California",City,33.7,73.6,2.68,147507,2.2,4.9,6.8,4,4.1,53.5,32.5,43,2.5,95.4,0,Lowest,Lowest
16000US0669088,"Santa Clarita city, California",City,38.5,77.7,3.01,97904,4.4,11,8.4,8.4,5.6,62.2,26.9,36.6,5.3,94.8,0,Lowest,Lowest
16000US0669112,"Santa Cruz city, California",City,26.7,73.6,2.43,90855,7.9,8.4,12.4,17.5,3.6,33.1,60,63.9,3.5,92.1,0,Medium_Low,Lowest
16000US0669196,"Santa Maria city, California",City,28.7,86.2,3.92,69393,14.1,18.3,6.6,12.8,19,41.5,43.4,46,3.6,90.8,0,Medium_High,Highest
16000US0670000,"Santa Monica city, California",City,41.6,49.8,1.97,92490,2.4,3.1,19.7,11,6.7,34.7,37.2,44.2,3.4,91.2,0,Lowest,Medium
16000US0670098,"Santa Rosa city, California",City,39.2,76.4,2.64,78574,5.9,4.7,8.1,6.5,7.5,44.5,31.5,38.7,5,93.9,0,Lowest,Medium
16000US0672016,"Simi Valley city, California",City,41.6,77.2,2.96,100927,3.9,5.6,9.9,6.5,5.5,53.1,31.9,38.5,4.7,93.3,0,Lowest,Lowest
16000US0673080,"South Gate city, California",City,32.3,95.6,3.96,53736,19.7,27.8,7.6,15.5,15.2,53.2,42.4,47.2,1.1,84.1,0,Highest,Highest
16000US0673262,"South San Francisco city, California",City,43.4,79.9,3,120573,1.9,8.1,8.4,6.1,6.4,51.4,31.8,41.3,4,92.1,0,Lowest,Medium
16000US0675000,"Stockton city, California",City,34,87.2,3.18,59504,19.1,20.7,11.9,15.4,6.4,46.1,37,45.9,4.3,84,0,Highest,Medium
16000US0677000,"Sunnyvale city, California",City,35.6,68,2.73,151475,3.2,3.4,4.8,5.8,4.1,54.2,30.1,37.3,3.6,94.7,0,Lowest,Lowest
16000US0678120,"Temecula city, California",City,35.7,71.9,3.22,95918,3.2,7.9,9.5,6.6,5.8,62.5,22.6,34.8,9.2,96.7,0,Lowest,Lowest
16000US0678582,"Thousand Oaks city, California",City,40.8,67.2,2.8,113562,2.9,4.1,7.1,4.7,4.8,58.6,27.7,32.2,4.8,90.9,0,Lowest,Lowest
16000US0680000,"Torrance city, California",City,42.5,74,2.56,100107,4,4.7,8.4,5.7,4.7,52.3,25.4,32.2,4.3,95.1,0,Lowest,Lowest
16000US0680238,"Tracy city, California",City,33.6,82,3.53,97292,8.9,9.7,2.4,9.2,8.3,59.1,36.6,39.2,3.2,95.7,0,Medium_Low,Medium
16000US0680644,"Tulare city, California",City,25.6,93.4,3.59,60081,29.2,32.5,6.5,23.6,7.8,54.7,32.1,37.3,5.5,88.4,0,Highest,Medium
16000US0680812,"Turlock city, California",City,32.8,87.4,2.84,58263,8.7,14.3,11.9,12.3,6.9,47.4,35.1,39.3,3.8,83.4,0,Medium_Low,Medium
