GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
16000US4861796,"Richardson city, Texas",City,35,62.3,2.73,91118,4.2,11.4,9.1,11.5,13.6,54.1,30.7,39.8,5.4,96.7,0,Lowest,Highest
16000US4863500,"Round Rock city, Texas",City,33.7,60.2,3.12,86145,2.6,8,2.9,6,10.4,54.2,33.8,39.7,6.9,97.3,0,Lowest,Highest
16000US4863572,"Rowlett city, Texas",City,40.8,67.4,3.03,100465,3.7,11.7,4.4,8,14.3,67.4,25.1,25.4,10.5,97.6,0,Lowest,Highest
16000US4864472,"San Angelo city, Texas",City,35.3,74.5,2.49,54972,9.6,18.3,10.5,12.9,12.1,46.1,29.1,36.8,10,88.2,0,Medium_Low,Highest
16000US4865000,"San Antonio city, Texas",City,34.4,73.7,2.98,53751,15.6,25.6,13.6,16.8,18.5,39.4,36.1,43.9,8.2,83.1,0,Highest,Highest
16000US4870808,"Sugar Land city, Texas",City,42.7,67.8,2.95,127598,2.4,3.7,4.8,3.5,8.2,70.4,23.7,30,4.5,95.8,0,Lowest,Medium
16000US4872176,"Temple city, Texas",City,33.9,68.1,2.66,55792,14.9,23.1,9.1,15.6,14.2,41.6,30.9,30.3,11.5,87.7,0,Highest,Highest
16000US4872656,"The Woodlands CDP, Texas",City,41.2,46.1,2.79,127469,2.1,7.6,6.5,4.4,8.3,64.6,23.8,27.8,4.1,95.4,0,Lowest,Medium
16000US4874144,"Tyler city, Texas",City,35.2,73.5,2.71,52294,8.5,16.6,10,12.6,17.6,43.7,32.2,42.1,5.4,80.9,0,Medium_Low,Highest
16000US4875428,"Victoria city, Texas",City,35.1,88.2,3.02,55968,11.9,30.5,8.7,17.5,20.7,43.7,31.6,41.3,6,74.4,0,Medium_High,Highest
16000US4876000,"Waco city, Texas",City,28.9,79.9,2.59,41481,12.6,32.1,15.2,25.8,14.3,37.3,42.9,48.7,5.7,84.1,0,Medium_High,Highest
16000US4879000,"Wichita Falls city, Texas",City,32.9,67,2.46,48861,13.6,16.8,9.8,14.7,15.7,40.7,29.4,44.3,9.8,83,0,Medium_High,Highest
