,Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
47,USA,NC,2022,11,Male,16,Right-Handed,178,26.67,185,5,Car,5,0.341,36,Soccer,487,481,615,465,1000,1000,26.67,Same length,40,39,Ring finger,February,Winter,No,Yes,Meat,Water,Mathematics and statistics,7.5,10,5,Yes - broadband connection,In person,50,250,10,2,12,5,6,7,8,11,50,7,0,2,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,International aid
48,USA,NC,2021,12,Male,17,Right-Handed,177,27,185,2,Walk,5,0.432,40,Tennis,1000,1000,1000,1000,1000,1000,28,Left foot,55,55,Index finger,February,Fall,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Rock and roll,Freeze time,Healthy,Coach or club leader,Environment
49,USA,NC,2015,11,Female,17,Right-Handed,175,22,140,1,Car,15,0.25,67,Other,1000,1000,1000,995,1000,1000,20,Right foot,25,30,Same length,December,Winter,Yes,No,Seafood,Energy drink,Mathematics and statistics,4,8,3,Yes - dial-up connection,In person,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Telepathy,Happy,Business person,Education/Youth development
50,USA,NC,2020,12,Female,17,Left-Handed,168,24,160,2,Car,5,0.596,48,Soccer,1000,1000,1000,999,503,652,24,Same length,80,70,Index finger,January,Fall,No,No,Desserts,Water,Mathematics and statistics,7,9,4,Yes - other,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid
51,USA,NC,2020,12,Male,17,Right-Handed,180,28,174,1,Car,10,0.462,51,Skateboarding/Rollerblading,1000,1000,500,800,200,200,24,Right foot,70,55,Ring finger,November,Fall,No,No,Meat,Energy drink,Physical education,5,10,3,Yes - broadband connection,Text messaging,100,90,20,30,30,15,15,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Religious figure,"Arts, culture, sports"
52,USA,NC,2018,12,Female,17,Right-Handed,167,24,158,2,Car,7,0.356,37,Bowling,800,800,600,500,200,400,24,Same length,70,75,Ring finger,September,Winter,No,No,Rice/Noodle dishes,Water,Science,4,10,3,Yes - other,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Health
53,USA,NC,2012,12,Female,17,Right-Handed,155,24,160,1,Walk,12,0.468,31,Basketball,700,550,650,650,400,400,24,Same length,79,81,Ring finger,June,Spring,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,6,Yes - broadband connection,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Fly,Happy,Religious figure,Religious
54,USA,NC,2016,12,Female,17,Right-Handed,163,20,158,1,Car,4,0.921,56,Other,600,600,500,700,900,1000,26,Same length,32,27,Index finger,June,Fall,No,No,Fruit,Water,Mathematics and statistics,7,10,4,Yes - broadband connection,In person,100,140,20,1,10,5,8,0,6,2,6,5,15,3,Some,Graduate degree,Other,Telepathy,Healthy,Religious figure,International aid
55,USA,NC,2014,9,Female,15,Right-Handed,5.5,10,65,1,Bus,20,9.263,90,Swimming,0,10000,10000,500,4,3,20,Same length,55,55,Ring finger,January,Summer,Yes,No,Poultry,Energy drink,Music,6,12,9,No internet connection,Text messaging,4,4,4,2,4,1,5,0,1,1,0,2,0,1,A lot,Some college,Rap/Hip hop,Invisibility,Happy,Musician or singer,"Arts, culture, sports"
56,USA,NC,2021,12,Female,17,Right-Handed,165,13.97,47,2,Bus,60,0.416,47,Soccer,1000,1000,1000,980,360,750,22,Same length,55,55,Ring finger,July,Summer,Yes,No,Rice/Noodle dishes,Water,Other,7,11,7,Yes - broadband connection,Text messaging,100,112,12,2,1,6,0,0,4,24,2,6,48,8,Some,Some college,Rhythm and blues (R&B),Fly,Happy,Musician or singer,"Wildlife, animals"
